date,region,marketing_spend,price,sales
2024-02-23,Constantine,447.87,31924.04,1345.09
2024-02-24,Alger,1221.81,45365.58,3306.86
2024-02-25,Oran,1266.22,33779.91,3563.87
2024-02-26,Constantine,1149.76,7483.28,4038.76
2024-02-27,Alger,2416.09,39446.35,6856.77
2024-02-28,Oran,4056.74,10330.09,12637.84
2024-02-29,Constantine,2175.54,23884.21,6670.45
2024-03-01,Alger,3672.47,33994.86,10928.1
2024-03-02,Oran,2072.84,17625.83,6356.96
2024-03-03,Constantine,4322.2,13184.16,13282.99
2024-03-04,Alger,2167.22,14648.71,6911.7
2024-03-05,Oran,1324.05,46240.01,3174.89
2024-03-06,Constantine,2796.59,3478.83,8959.25
2024-03-07,Alger,4996.48,41965.35,15098.32
2024-03-08,Oran,4258.61,9149.24,13004.42
2024-03-09,Constantine,2479.64,11473.62,7652.93
2024-03-10,Alger,1956.97,49280.13,5425.81
2024-03-11,Oran,1399.49,39419.46,3708.66
2024-03-12,Constantine,4790.86,49775.71,13935.57
2024-03-13,Alger,2823.26,36202.01,8340.24
2024-03-14,Oran,4846.68,29379.83,14591.11
2024-03-15,Constantine,2756.76,37650.8,8265.31
2024-03-16,Alger,2563.97,42783.27,7429.38
2024-03-17,Oran,871.42,48078.17,2265.03
2024-03-18,Constantine,3015.67,34085.42,8927.16
2024-03-19,Alger,1252.5,6874.44,4236.05
2024-03-20,Oran,3013.14,31349.69,8816.78
2024-03-21,Constantine,2154.2,29599.94,5908.14
2024-03-22,Alger,1100.87,36093.4,3014.09
2024-03-23,Oran,1269.56,20393.51,3821.01
2024-03-24,Constantine,1649.27,37841.36,4542.1
2024-03-25,Alger,455.46,23455.99,2063.31
2024-03-26,Oran,458.98,11444.56,1641.58
2024-03-27,Constantine,1399.48,46729.71,4065.17
2024-03-28,Alger,1910.68,8729.59,5777.55
2024-03-29,Oran,4185.35,35473.46,11895.47
2024-03-30,Constantine,3304.48,1383.33,10004.5
2024-03-31,Alger,4103.81,15669.56,12253.19
2024-04-01,Oran,758.03,6656.0,2236.36
2024-04-02,Constantine,624.48,28107.96,1773.14
2024-04-03,Alger,3616.3,10976.27,11399.23
2024-04-04,Oran,3207.77,13935.21,9411.46
2024-04-05,Constantine,4245.91,5522.62,13158.54
2024-04-06,Alger,2175.52,14557.33,7078.79
2024-04-07,Oran,3221.86,13835.81,9896.51
2024-04-08,Constantine,3732.03,28032.34,11110.39
2024-04-09,Alger,468.69,44272.21,1032.86
2024-04-10,Oran,4529.25,27733.92,13667.06
2024-04-11,Constantine,825.66,7244.83,2604.21
2024-04-12,Alger,1610.47,45050.09,4543.88
2024-04-13,Oran,4504.73,11293.75,13407.77
2024-04-14,Constantine,1322.7,6036.89,4425.47
2024-04-15,Alger,2091.25,31412.41,5737.67
2024-04-16,Oran,857.31,46564.17,2501.28
2024-04-17,Constantine,4072.78,44189.39,11423.44
2024-04-18,Alger,221.45,37091.66,194.28
2024-04-19,Oran,4030.95,43339.14,12128.05
2024-04-20,Constantine,4072.67,14073.48,12458.8
2024-04-21,Alger,4373.62,43071.07,12666.4
2024-04-22,Oran,1189.93,41012.74,3084.14
2024-04-23,Constantine,3997.19,12152.18,12290.66
2024-04-24,Alger,215.96,10463.36,749.86
2024-04-25,Oran,4837.76,14677.12,15072.14
2024-04-26,Constantine,3243.26,20584.24,10064.28
2024-04-27,Alger,4702.26,6651.75,14444.45
2024-04-28,Oran,4854.96,9749.82,15022.65
2024-04-29,Constantine,631.17,22293.62,1911.0
